Vector w
20891.892602
3521.891665
Matrix Z
16616.700000,2495.000000
2495.000000,500.000000
Matrix Z^-1
0.000240,-0.001198
-0.001198,0.007976
Matrix ZZ^-1
1.000000,0.000000
0.000000,1.000000
Matrix Z^-1Z
1.000000,0.000000
0.000000,1.000000
Vector a (Estimated Parameters)
0.796240
3.070546

x,y,ax+b
3.120000,6.283132,5.554815
3.140000,4.713804,5.570739
3.160000,6.025875,5.586664
3.180000,5.758418,5.602589
3.200000,5.936149,5.618514
3.220000,5.171168,5.634439
3.240000,4.810296,5.650363
3.260000,5.316094,5.666288
3.280000,5.341978,5.682213
3.300000,6.771429,5.698138
3.320000,6.381103,5.714063
3.340000,5.167923,5.729987
3.360000,5.946757,5.745912
3.380000,5.902065,5.761837
3.400000,5.447922,5.777762
3.420000,5.590052,5.793687
3.440000,5.763491,5.809611
3.460000,5.374318,5.825536
3.480000,6.131555,5.841461
3.500000,5.223297,5.857386
3.520000,6.097010,5.873311
3.540000,5.650416,5.889235
3.560000,5.457968,5.905160
3.580000,5.208742,5.921085
3.600000,6.870671,5.937010
3.620000,4.483402,5.952935
3.640000,5.321405,5.968859
3.660000,6.406711,5.984784
3.680000,6.510817,6.000709
3.700000,7.480431,6.016634
3.720000,6.024063,6.032559
3.740000,4.898944,6.048483
3.760000,4.809726,6.064408
3.780000,6.831712,6.080333
3.800000,6.164515,6.096258
3.820000,7.420514,6.112183
3.840000,6.040093,6.128107
3.860000,6.335537,6.144032
3.880000,6.203693,6.159957
3.900000,7.501990,6.175882
3.920000,5.099575,6.191807
3.940000,5.875857,6.207731
3.960000,5.120293,6.223656
3.980000,7.431219,6.239581
4.000000,6.606170,6.255506
4.020000,5.573496,6.271431
4.040000,6.619491,6.287355
4.060000,6.783311,6.303280
4.080000,5.387657,6.319205
4.100000,6.910445,6.335130
4.120000,7.304477,6.351055
4.140000,5.498396,6.366979
4.160000,6.451374,6.382904
4.180000,5.970414,6.398829
4.200000,7.182253,6.414754
4.220000,7.455134,6.430679
4.240000,6.049689,6.446603
4.260000,7.498871,6.462528
4.280000,6.671268,6.478453
4.300000,5.600837,6.494378
4.320000,6.986354,6.510303
4.340000,6.128697,6.526227
4.360000,7.068468,6.542152
4.380000,5.817152,6.558077
4.400000,6.370033,6.574002
4.420000,7.369538,6.589927
4.440000,6.477451,6.605851
4.460000,7.410791,6.621776
4.480000,6.364403,6.637701
4.500000,5.762857,6.653626
4.520000,6.147992,6.669551
4.540000,8.709750,6.685475
4.560000,5.803488,6.701400
4.580000,6.996583,6.717325
4.600000,6.876784,6.733250
4.620000,6.560576,6.749175
4.640000,6.878514,6.765099
4.660000,6.973815,6.781024
4.680000,6.031518,6.796949
4.700000,7.738798,6.812874
4.720000,7.089144,6.828799
4.740000,8.616702,6.844723
4.760000,6.364562,6.860648
4.780000,7.312002,6.876573
4.800000,6.531009,6.892498
4.820000,6.929647,6.908423
4.840000,8.925275,6.924347
4.860000,7.294153,6.940272
4.880000,6.421997,6.956197
4.900000,5.312535,6.972122
4.920000,5.258234,6.988047
4.940000,7.599155,7.003971
4.960000,7.715215,7.019896
4.980000,9.003436,7.035821
5.000000,6.779143,7.051746
5.020000,6.348699,7.067671
5.040000,8.346629,7.083595
5.060000,9.326012,7.099520
5.080000,6.516161,7.115445
5.100000,8.181712,7.131370
5.120000,7.650009,7.147295
5.140000,5.082650,7.163219
5.160000,7.916842,7.179144
5.180000,6.948683,7.195069
5.200000,6.567664,7.210994
5.220000,7.420385,7.226919
5.240000,8.758479,7.242843
5.260000,7.085232,7.258768
5.280000,6.611120,7.274693
5.300000,7.632973,7.290618
5.320000,7.568387,7.306543
5.340000,8.062018,7.322467
5.360000,8.323301,7.338392
5.380000,7.893457,7.354317
5.400000,5.899647,7.370242
5.420000,7.237879,7.386167
5.440000,6.363208,7.402091
5.460000,7.947865,7.418016
5.480000,7.511271,7.433941
5.500000,7.514035,7.449866
5.520000,6.095083,7.465791
5.540000,7.094613,7.481715
5.560000,6.656693,7.497640
5.580000,8.175315,7.513565
5.600000,7.766360,7.529490
5.620000,7.547345,7.545414
5.640000,6.479561,7.561339
5.660000,5.451915,7.577264
5.680000,6.747923,7.593189
5.700000,7.971237,7.609114
5.720000,5.612132,7.625038
5.740000,7.568083,7.640963
5.760000,7.464173,7.656888
5.780000,7.300536,7.672813
5.800000,6.930589,7.688738
5.820000,7.616374,7.704662
5.840000,8.028809,7.720587
5.860000,8.114657,7.736512
5.880000,7.397125,7.752437
5.900000,6.356381,7.768362
5.920000,8.327320,7.784286
5.940000,8.100375,7.800211
5.960000,7.052469,7.816136
5.980000,8.183709,7.832061
6.000000,7.508372,7.847986
6.020000,9.108443,7.863910
6.040000,7.664762,7.879835
6.060000,6.788561,7.895760
6.080000,7.973847,7.911685
6.100000,8.257707,7.927610
6.120000,7.866939,7.943534
6.140000,8.560714,7.959459
6.160000,7.630236,7.975384
6.180000,8.390337,7.991309
6.200000,7.520455,8.007234
6.220000,7.943194,8.023158
6.240000,6.855952,8.039083
6.260000,6.938613,8.055008
6.280000,9.214564,8.070933
6.300000,7.376751,8.086858
6.320000,7.291877,8.102782
6.340000,8.452036,8.118707
6.360000,6.346893,8.134632
6.380000,8.498924,8.150557
6.400000,7.058177,8.166482
6.420000,7.496722,8.182406
6.440000,8.996881,8.198331
6.460000,6.877957,8.214256
6.480000,8.055402,8.230181
6.500000,8.208062,8.246106
6.520000,8.201638,8.262030
6.540000,8.980149,8.277955
6.560000,8.444413,8.293880
6.580000,7.601032,8.309805
6.600000,7.839854,8.325730
6.620000,8.865352,8.341654
6.640000,10.092856,8.357579
6.660000,8.592760,8.373504
6.680000,9.141218,8.389429
6.700000,9.249022,8.405354
6.720000,8.830071,8.421278
6.740000,8.419694,8.437203
6.760000,7.941977,8.453128
6.780000,8.103317,8.469053
6.800000,7.654201,8.484978
6.820000,8.346948,8.500902
6.840000,9.148249,8.516827
6.860000,6.948184,8.532752
6.880000,8.767247,8.548677
6.900000,9.655237,8.564602
6.920000,8.949888,8.580526
6.940000,7.446555,8.596451
6.960000,9.798739,8.612376
6.980000,7.754089,8.628301
7.000000,8.647836,8.644226
7.020000,7.328716,8.660150
7.040000,8.672043,8.676075
7.060000,10.285333,8.692000
7.080000,8.517121,8.707925
7.100000,9.816306,8.723850
7.120000,9.519562,8.739774
7.140000,8.295164,8.755699
7.160000,7.830881,8.771624
7.180000,9.030999,8.787549
7.200000,9.734615,8.803474
7.220000,8.293476,8.819398
7.240000,8.885986,8.835323
7.260000,9.745156,8.851248
7.280000,8.897918,8.867173
7.300000,8.702770,8.883098
7.320000,9.045588,8.899022
7.340000,9.660248,8.914947
7.360000,9.547123,8.930872
7.380000,8.721940,8.946797
7.400000,10.191890,8.962722
7.420000,9.078139,8.978646
7.440000,8.195194,8.994571
7.460000,8.664311,9.010496
7.480000,11.760718,9.026421
7.500000,9.181414,9.042346
7.520000,7.677523,9.058270
7.540000,10.802977,9.074195
7.560000,8.613709,9.090120
7.580000,8.775801,9.106045
7.600000,10.420875,9.121970
7.620000,10.101988,9.137894
7.640000,9.138429,9.153819
7.660000,9.117795,9.169744
7.680000,8.812008,9.185669
7.700000,9.696330,9.201594
7.720000,9.991348,9.217518
7.740000,8.235152,9.233443
7.760000,8.993397,9.249368
7.780000,8.742079,9.265293
7.800000,9.816513,9.281218
7.820000,9.587769,9.297142
7.840000,9.931170,9.313067
7.860000,10.869530,9.328992
7.880000,9.930427,9.344917
7.900000,9.625383,9.360842
7.920000,8.565535,9.376766
7.940000,9.622548,9.392691
7.960000,9.786236,9.408616
7.980000,10.872828,9.424541
8.000000,8.961207,9.440466
8.020000,8.694515,9.456390
8.040000,8.573883,9.472315
8.060000,10.179815,9.488240
8.080000,8.712127,9.504165
8.100000,8.892482,9.520090
8.120000,9.581014,9.536014
8.140000,8.979796,9.551939
8.160000,9.282162,9.567864
8.180000,9.739845,9.583789
8.200000,10.719360,9.599714
8.220000,8.951318,9.615638
8.240000,9.036076,9.631563
8.260000,8.774219,9.647488
8.280000,9.940507,9.663413
8.300000,9.670060,9.679338
8.320000,8.588134,9.695262
8.340000,10.448915,9.711187
8.360000,9.138013,9.727112
8.380000,10.169487,9.743037
8.400000,10.223195,9.758962
8.420000,9.833638,9.774886
8.440000,9.845041,9.790811
8.460000,9.819960,9.806736
8.480000,9.970165,9.822661
8.500000,9.523780,9.838586
8.520000,10.128597,9.854510
8.540000,9.891790,9.870435
8.560000,10.864800,9.886360
8.580000,10.387010,9.902285
8.600000,11.448573,9.918210
8.620000,9.894218,9.934134
8.640000,11.786594,9.950059
8.660000,10.530824,9.965984
8.680000,10.592027,9.981909
8.700000,10.230367,9.997834
8.720000,9.674712,10.013758
8.740000,8.925976,10.029683
8.760000,9.855973,10.045608
8.780000,9.104462,10.061533
8.800000,9.882154,10.077458
8.820000,9.024454,10.093382
8.840000,10.422994,10.109307
8.860000,10.144288,10.125232
8.880000,10.280559,10.141157
8.900000,9.065787,10.157082
8.920000,9.384029,10.173006
8.940000,11.801541,10.188931
8.960000,10.766526,10.204856
8.980000,9.920113,10.220781
9.000000,10.151504,10.236706
9.020000,10.388437,10.252630
9.040000,10.292190,10.268555
9.060000,10.702141,10.284480
9.080000,10.652787,10.300405
9.100000,10.052432,10.316330
9.120000,8.214356,10.332254
9.140000,9.301626,10.348179
9.160000,10.616057,10.364104
9.180000,10.992922,10.380029
9.200000,10.932927,10.395954
9.220000,11.037345,10.411878
9.240000,11.248038,10.427803
9.260000,10.538672,10.443728
9.280000,9.265275,10.459653
9.300000,7.828951,10.475578
9.320000,10.177168,10.491502
9.340000,9.439829,10.507427
9.360000,11.680908,10.523352
9.380000,10.202788,10.539277
9.400000,9.685221,10.555202
9.420000,11.769821,10.571126
9.440000,10.142660,10.587051
9.460000,9.869843,10.602976
9.480000,11.287845,10.618901
9.500000,8.632629,10.634826
9.520000,10.712020,10.650750
9.540000,11.468151,10.666675
9.560000,11.055680,10.682600
9.580000,9.427099,10.698525
9.600000,11.711715,10.714450
9.620000,11.067790,10.730374
9.640000,11.868942,10.746299
9.660000,10.083185,10.762224
9.680000,9.885416,10.778149
9.700000,11.104278,10.794074
9.720000,9.879159,10.809998
9.740000,11.204322,10.825923
9.760000,10.392016,10.841848
9.780000,10.535751,10.857773
9.800000,10.577086,10.873697
9.820000,12.289530,10.889622
9.840000,10.938571,10.905547
9.860000,11.632551,10.921472
9.880000,10.280005,10.937397
9.900000,10.969248,10.953321
9.920000,11.158815,10.969246
9.940000,11.575633,10.985171
9.960000,11.566400,11.001096
9.980000,10.907365,11.017021
